Serovar	Group	O Antigen	Serogroup	H Phase 1	H Phase 2	Serogroup Formula	Antigenic Formula	Subspecies
II 40:z39:1,7	O:40 (R) 	40	R	z39	1,7	R:z39:1,7	40:z39:1,7	II
II 1,44:z39:e,n,x,z15	O:44 (V)	1,44	V	z39	e,n,x,z15	V:z39:e,n,x,z15	1,44:z39:e,n,x,z15	II
II 48:z39:z81	O:48 (Y)1	48	Y	z39	z81	Y:z39:z81	48:z39:z81	II
IIIb 6,7,14:z39:1,2	O:7 (C1)	6,7,14	C1	z39	1,2	C1:z39:1,2	6,7,14:z39:1,2	IIIb
IIIb 40:z39:1,6	O:40 (R) 	40	R	z39	1,6	R:z39:1,6	40:z39:1,6	IIIb
V 13,22:z39:-	O:13 (G)	13,22	G	z39	-	G:z39:-	13,22:z39:-	V
V 66:z39:-	O:66	66	O-66	z39	-	O-66:z39:-	66:z39:-	V
V 44:z39:-	O:44 (V)	44	V	z39	-	V:z39:-	44:z39:-	V
V 48:z39:-	O:48 (Y)1	48	Y	z39	-	Y:z39:-	48:z39:-	V
Aarhus	O:18 (K)	18	K	z4,z23	-	K:z4,z23:-	18:z4,z23:-	I
Aarhus	O:18 (K)	18	K	z4,z23	z64	K:z4,z23:z64	18:z4,z23:z64	I
Adabraka	O:3,10 (E1)	3,10	E	z4,z23	-	E:z4,z23:-	3,10:z4,z23:-	I
Adabraka	O:3,10 (E1)	3,10	E	z4,z23	1,7	E:z4,z23:1,7	3,10:z4,z23:1,7	I
Aequatoria	O:7 (C1)	6,7	C1	z4,z23	e,n,z15	C1:z4,z23:e,n,z15	6,7:z4,z23:e,n,z15	I
Ajiobo	O:13 (G)	13,23	G	z4,z23	-	G:z4,z23:-	13,23:z4,z23:-	I
Alachua	O:35 (O)	35	O	z4,z23	-	O:z4,z23:-	35:z4,z23:-	I
Arapahoe	O:6,14 (H)	6,14	H	z4,z23	1,5	H:z4,z23:1,5	6,14:z4,z23:1,5	I
Axim	O:16 (l)	16	I	z4,z23	z6	I:z4,z23:z6	16:z4,z23:z6	I
Babelsberg	O:28 (M)	28	M	z4,z23	-	M:z4,z23:-	28:z4,z23:-	I
Babelsberg	O:28 (M)	28	M	z4,z23	e,n,z15	M:z4,z23:e,n,z15	28:z4,z23:e,n,z15	I
Baguida	O:21 (L)	21	L	z4,z23	-	L:z4,z23:-	21:z4,z23:-	I
Bellevue	O:8 (C2-C3)	8	C2-C3	z4,z23	1,7	C2-C3:z4,z23:1,7	8:z4,z23:1,7	I
Bere	O:47 (X)	47	X	z4,z23	z6	X:z4,z23:z6	47:z4,z23:z6	I
Binche	O:47 (X)	47	X	z4,z23	l,w	X:z4,z23:l,w	47:z4,z23:l,w	I
Bofflens	O:41 (S)	41	S	z4,z23	1,7	S:z4,z23:1,7	41:z4,z23:1,7	I
Bousso	O:6,14 (H)	1,6,14,25	H	z4,z23	-	H:z4,z23:-	1,6,14,25:z4,z23:-	I
Bousso	O:6,14 (H)	1,6,14,25	H	z4,z23	e,n,z15	H:z4,z23:e,n,z15	1,6,14,25:z4,z23:e,n,z15	I
Breda	O:8 (C2-C3)	6,8	C2-C3	z4,z23	e,n,x	C2-C3:z4,z23:e,n,x	6,8:z4,z23:e,n,x	I
Broc	O:42 (T)	42	T	z4,z23	e,n,z15	T:z4,z23:e,n,z15	42:z4,z23:e,n,z15	I
Cannobio	O:28 (M)	28	M	z4,z23	1,5	M:z4,z23:1,5	28:z4,z23:1,5	I
Cerro	O:18 (K)	6,14,18	K	z4,z23	-	K:z4,z23:-	6,14,18:z4,z23:-	I
Cerro	O:18 (K)	6,14,18	K	z4,z23	1,5	K:z4,z23:1,5	6,14,18:z4,z23:1,5	I
Chailey	O:8 (C2-C3)	6,8	C2-C3	z4,z23	-	C2-C3:z4,z23:-	6,8:z4,z23:-	I
Chailey	O:8 (C2-C3)	6,8	C2-C3	z4,z23	e,n,z15	C2-C3:z4,z23:e,n,z15	6,8:z4,z23:e,n,z15	I
Corvallis	O:8 (C2-C3)	8,20	C2-C3	z4,z23	-	C2-C3:z4,z23:-	8,20:z4,z23:-	I
Corvallis	O:8 (C2-C3)	8,20	C2-C3	z4,z23	z6	C2-C3:z4,z23:z6	8,20:z4,z23:z6	I
Dabou	O:8 (C2-C3)	8,20	C2-C3	z4,z23	l,w	C2-C3:z4,z23:l,w	8,20:z4,z23:l,w	I
Ekotedo	O:9,46 (D2)	9,46	D	z4,z23	-	D:z4,z23:-	9,46:z4,z23:-	I
Etterbeek	O:11 (F)	11	F	z4,z23	e,n,z15	F:z4,z23:e,n,z15	11:z4,z23:e,n,z15	I
Farmingdale	O:43 (U)	43	U	z4,z23	-	U:z4,z23:-	43:z4,z23:-	I
Farmingdale	O:43 (U)	43	U	z4,z23	1,2	U:z4,z23:1,2	43:z4,z23:1,2	I
Fehrbellin	O:47 (X)	47	X	z4,z23	1,6	X:z4,z23:1,6	47:z4,z23:1,6	I
Gera	O:42 (T)	1,42	T	z4,z23	1,6	T:z4,z23:1,6	1,42:z4,z23:1,6	I
Goma	O:7 (C1)	6,7	C1	z4,z23	z6	C1:z4,z23:z6	6,7:z4,z23:z6	I
II 6,7:z4,z23:-	O:7 (C1)	6,7	C1	z4,z23	-	C1:z4,z23:-	6,7:z4,z23:-	II
II 16:z4,z23:-	O:16 (l)	16	I	z4,z23	-	I:z4,z23:-	16:z4,z23:-	II
II 18:z4,z23:-	O:18 (K)	18	K	z4,z23	-	K:z4,z23:-	18:z4,z23:-	II
II 43:z4,z23:-	O:43 (U)	43	U	z4,z23	-	U:z4,z23:-	43:z4,z23:-	II
II 44:z4,z23:-	O:44 (V)	44	V	z4,z23	-	V:z4,z23:-	44:z4,z23:-	II
IIIa 11:z4,z23:-	O:11 (F)	11	F	z4,z23	-	F:z4,z23:-	11:z4,z23:-	IIIa
IIIa 13,22:z4,z23:-	O:13 (G)	13,22	G	z4,z23	-	G:z4,z23:-	13,22:z4,z23:-	IIIa
IIIa 17:z4,z23:-	O:17 (J)	17	J	z4,z23	-	J:z4,z23:-	17:z4,z23:-	IIIa
IIIa 18:z4,z23:-	O:18 (K)	18	K	z4,z23	-	K:z4,z23:-	18:z4,z23:-	IIIa
IIIa 21:z4,z23:-	O:21 (L)	21	L	z4,z23	-	L:z4,z23:-	21:z4,z23:-	IIIa
IIIa 51:z4,z23:-	O:51	51	O-51	z4,z23	-	O-51:z4,z23:-	51:z4,z23:-	IIIa
IIIa 53:z4,z23:-	O:53	53	O-53	z4,z23	-	O-53:z4,z23:-	53:z4,z23:-	IIIa
IIIa 56:z4,z23:-	O:56	56	O-56	z4,z23	-	O-56:z4,z23:-	56:z4,z23:-	IIIa
IIIa 59:z4,z23:-	O:59	59	O-59	z4,z23	-	O-59:z4,z23:-	59:z4,z23:-	IIIa
IIIa 62:z4,z23:-	O:62	62	O-62	z4,z23	-	O-62:z4,z23:-	62:z4,z23:-	IIIa
IIIa 63:z4,z23:-	O:63	63	O-63	z4,z23	-	O-63:z4,z23:-	63:z4,z23:-	IIIa
IIIa 35:z4,z23:-	O:35 (O)	35	O	z4,z23	-	O:z4,z23:-	35:z4,z23:-	IIIa
IIIa 38:z4,z23:-	O:38 (P)	38	P	z4,z23	-	P:z4,z23:-	38:z4,z23:-	IIIa
IIIa 40:z4,z23:-	O:40 (R) 	40	R	z4,z23	-	R:z4,z23:-	40:z4,z23:-	IIIa
IIIa 41:z4,z23:-	O:41 (S)	41	S	z4,z23	-	S:z4,z23:-	41:z4,z23:-	IIIa
IIIa 42:z4,z23:-	O:42 (T)	42	T	z4,z23	-	T:z4,z23:-	42:z4,z23:-	IIIa
IIIa 43:z4,z23:-	O:43 (U)	43	U	z4,z23	-	U:z4,z23:-	43:z4,z23:-	IIIa
IIIa 44:z4,z23:-	O:44 (V)	44	V	z4,z23	-	V:z4,z23:-	44:z4,z23:-	IIIa
IIIa 45:z4,z23:-	O:45 (W)	45	W	z4,z23	-	W:z4,z23:-	45:z4,z23:-	IIIa
IIIa 47:z4,z23:-	O:47 (X)	47	X	z4,z23	-	X:z4,z23:-	47:z4,z23:-	IIIa
IIIa 48:z4,z23:-	O:48 (Y)1	48	Y	z4,z23	-	Y:z4,z23:-	48:z4,z23:-	IIIa
IIIa 50:z4,z23:-	O:50 (Z)	50	Z	z4,z23	-	Z:z4,z23:-	50:z4,z23:-	IIIa
Ilugun	O:1,3,19 (E4)	1,3,10,19	E	z4,z23	z6	E:z4,z23:z6	1,3,10,19:z4,z23:z6	I
IV 6,7:z4,z23:-	O:7 (C1)	6,7	C1	z4,z23	-	C1:z4,z23:-	6,7:z4,z23:-	IV
IV 11:z4,z23:-	O:11 (F)	11	F	z4,z23	-	F:z4,z23:-	11:z4,z23:-	IV
IV 6,14:z4,z23:-	O:6,14 (H)	6,14	H	z4,z23	-	H:z4,z23:-	6,14:z4,z23:-	IV
IV 16:z4,z23:-	O:16 (l)	16	I	z4,z23	-	I:z4,z23:-	16:z4,z23:-	IV
IV 21:z4,z23:-	O:21 (L)	21	L	z4,z23	-	L:z4,z23:-	21:z4,z23:-	IV
IV 51:z4,z23:-	O:51	51	O-51	z4,z23	-	O-51:z4,z23:-	51:z4,z23:-	IV
IV 53:z4,z23:-	O:53	53	O-53	z4,z23	-	O-53:z4,z23:-	53:z4,z23:-	IV
IV 57:z4,z23:-	O:57	57	O-57	z4,z23	-	O-57:z4,z23:-	57:z4,z23:-	IV
IV 38:z4,z23:-	O:38 (P)	38	P	z4,z23	-	P:z4,z23:-	38:z4,z23:-	IV
IV 1,40:z4,z23:-	O:40 (R) 	1,40	R	z4,z23	-	R:z4,z23:-	1,40:z4,z23:-	IV
IV 41:z4,z23:-	O:41 (S)	41	S	z4,z23	-	S:z4,z23:-	41:z4,z23:-	IV
IV 43:z4,z23:-	O:43 (U)	43	U	z4,z23	-	U:z4,z23:-	43:z4,z23:-	IV
IV 44:z4,z23:-	O:44 (V)	44	V	z4,z23	-	V:z4,z23:-	44:z4,z23:-	IV
IV 45:z4,z23:-	O:45 (W)	45	W	z4,z23	-	W:z4,z23:-	45:z4,z23:-	IV
IV 48:z4,z23:-	O:48 (Y)1	48	Y	z4,z23	-	Y:z4,z23:-	48:z4,z23:-	IV
IV 50:z4,z23:-	O:50 (Z)	50	Z	z4,z23	-	Z:z4,z23:-	50:z4,z23:-	IV
Kibi	O:16 (l)	16	I	z4,z23	-	I:z4,z23:-	16:z4,z23:-	I
Kibi	O:16 (l)	16	I	z4,z23	1,6	I:z4,z23:1,6	16:z4,z23:1,6	I
Kua	O:44 (V)	44	V	z4,z23	-	V:z4,z23:-	44:z4,z23:-	I
Lezennes	O:8 (C2-C3)	6,8	C2-C3	z4,z23	1,7	C2-C3:z4,z23:1,7	6,8:z4,z23:1,7	I
Namur	O:39 (Q)	39	Q	z4,z23	-	Q:z4,z23:-	39:z4,z23:-	I
Obogu	O:7 (C1)	6,7	C1	z4,z23	1,5	C1:z4,z23:1,5	6,7:z4,z23:1,5	I
Planckendael	O:7 (C1)	6,7	C1	z4,z23	1,6	C1:z4,z23:1,6	6,7:z4,z23:1,6	I
Ploufragan	O:44 (V)	1,44	V	z4,z23	e,n,z15	V:z4,z23:e,n,z15	1,44:z4,z23:e,n,z15	I
Remete	O:11 (F)	11	F	z4,z23	1,6	F:z4,z23:1,6	11:z4,z23:1,6	I
Ried	O:13 (G)	1,13,22	G	z4,z23	-	G:z4,z23:-	1,13,22:z4,z23:-	I
Ried	O:13 (G)	1,13,22	G	z4,z23	e,n,z15	G:z4,z23:e,n,z15	1,13,22:z4,z23:e,n,z15	I
Stanleyville	O:4 (B)	1,4,[5],12,[27]	B	z4,z23	-	B:z4,z23:-	1,4,[5],12,[27]:z4,z23:-	I
Stanleyville	O:4 (B)	1,4,[5],12,[27]	B	z4,z23	1,2	B:z4,z23:1,2	1,4,[5],12,[27]:z4,z23:1,2	I
Stoneferry	O:30 (N)	30	N	z4,z23	-	N:z4,z23:-	30:z4,z23:-	I
Tabligbo	O:47 (X)	47	X	z4,z23	e,n,z15	X:z4,z23:e,n,z15	47:z4,z23:e,n,z15	I
Teltow	O:28 (M)	28	M	z4,z23	1,6	M:z4,z23:1,6	28:z4,z23:1,6	I
Vuadens	O:4 (B)	4,12,27	B	z4,z23	z6	B:z4,z23:z6	4,12,27:z4,z23:z6	I
Wagadugu	O:3,10 (E1)	3,10	E	z4,z23	z6	E:z4,z23:z6	3,10:z4,z23:z6	I
Wangata	O:9 (D1)	1,9,12	D	z4,z23	-	D:z4,z23:-	1,9,12:z4,z23:-	I
Wangata	O:9 (D1)	1,9,12	D	z4,z23	1,7	D:z4,z23:1,7	1,9,12:z4,z23:1,7	I
Waycross	O:41 (S)	41	S	z4,z23	-	S:z4,z23:-	41:z4,z23:-	I
Waycross	O:41 (S)	41	S	z4,z23	e,n,z15	S:z4,z23:e,n,z15	41:z4,z23:e,n,z15	I
Yerba	O:54	54	O-54	z4,z23	-	O-54:z4,z23:-	54:z4,z23:-	I
Yoff	O:38 (P)	38	P	z4,z23	1,2	P:z4,z23:1,2	38:z4,z23:1,2	I
IIIa 13,23:z4,z23,[z32]:-	O:13 (G)	13,23	G	z4,z23,[z32]	-	G:z4,z23:-	13,23:z4,z23,[z32]:-	IIIa
IIIa 13,23:z4,z23,[z32]:-	O:13 (G)	13,23	G	z4,z23,[z32]	-	G:z4,z23,z32:-	13,23:z4,z23,[z32]:-	IIIa
IIIa 17:z4,z23,z32:-	O:17 (J)	17	J	z4,z23,z32	-	J:z4,z23,z32:-	17:z4,z23,z32:-	IIIa
IIIa 53:z4,z23,z32:-	O:53	53	O-53	z4,z23,z32	-	O-53:z4,z23,z32:-	53:z4,z23,z32:-	IIIa
IIIa 56:z4,z23,z32:-	O:56	56	O-56	z4,z23,z32	-	O-56:z4,z23,z32:-	56:z4,z23,z32:-	IIIa
IIIa 41:z4,z23,z32:-	O:41 (S)	41	S	z4,z23,z32	-	S:z4,z23,z32:-	41:z4,z23,z32:-	IIIa
IIIa 44:z4,z23,z32:-	O:44 (V)	44	V	z4,z23,z32	-	V:z4,z23,z32:-	44:z4,z23,z32:-	IIIa
IIIa 48:z4,z23,z32:-	O:48 (Y)1	48	Y	z4,z23,z32	-	Y:z4,z23,z32:-	48:z4,z23,z32:-	IIIa
IIIa 50:z4,z23,z32:-	O:50 (Z)	50	Z	z4,z23,z32	-	Z:z4,z23,z32:-	50:z4,z23,z32:-	IIIa
Albany	O:8 (C2-C3)	8,20	C2-C3	z4,z24	-	C2-C3:z4,z24:-	8,20:z4,z24:-	I
Bangkok	O:38 (P)	38	P	z4,z24	-	P:z4,z24:-	38:z4,z24:-	I
Blukwa	O:18 (K)	6,14,18	K	z4,z24	-	K:z4,z24:-	6,14,18:z4,z24:-	I
Bodjonegoro	O:30 (N)	30	N	z4,z24	-	N:z4,z24:-	30:z4,z24:-	I
Chichiri	O:6,14 (H)	6,14,24	H	z4,z24	-	H:z4,z24:-	6,14,24:z4,z24:-	I
Christiansborg	O:44 (V)	44	V	z4,z24	-	V:z4,z24:-	44:z4,z24:-	I
Djakarta	O:48 (Y)1	48	Y	z4,z24	-	Y:z4,z24:-	48:z4,z24:-	I
Duesseldorf	O:8 (C2-C3)	6,8	C2-C3	z4,z24	-	C2-C3:z4,z24:-	6,8:z4,z24:-	I
Florian	O:3,10 (E1)	3,{10}{15}	E	z4,z24	-	E:z4,z24:-	3,{10}{15}:z4,z24:-	I
II 6,7:z4,z24:z42	O:7 (C1)	6,7	C1	z4,z24	z42	C1:z4,z24:z42	6,7:z4,z24:z42	II
II 1,9,12,46,27:z4,z24:1,5	O:9,46,27 (D3)	1,9,12,46,27	D	z4,z24	1,5	D:z4,z24:1,5	1,9,12,46,27:z4,z24:1,5	II
II 9,46:z4,z24:z39	O:9,46 (D2)	9,46	D	z4,z24	z39	D:z4,z24:z39	9,46:z4,z24:z39	II
II 3,10:z4,z24:-	O:3,10 (E1)	3,10	E	z4,z24	-	E:z4,z24:-	3,10:z4,z24:-	II
II 16:z4,z24:-	O:16 (l)	16	I	z4,z24	-	I:z4,z24:-	16:z4,z24:-	II
II 18:z4,z24:-	O:18 (K)	18	K	z4,z24	-	K:z4,z24:-	18:z4,z24:-	II
II 21:z4,z24:-	O:21 (L)	21	L	z4,z24	-	L:z4,z24:-	21:z4,z24:-	II
II 53:z4,z24:-	O:53	53	O-53	z4,z24	-	O-53:z4,z24:-	53:z4,z24:-	II
II 40:z4,z24:z39	O:40 (R) 	40	R	z4,z24	z39	R:z4,z24:z39	40:z4,z24:z39	II
IIIa 13,23:z4,z24:-	O:13 (G)	13,23	G	z4,z24	-	G:z4,z24:-	13,23:z4,z24:-	IIIa
IIIa 17:z4,z24:-	O:17 (J)	17	J	z4,z24	-	J:z4,z24:-	17:z4,z24:-	IIIa
IIIa 21:z4,z24:-	O:21 (L)	21	L	z4,z24	-	L:z4,z24:-	21:z4,z24:-	IIIa
IIIa 51:z4,z24:-	O:51	51	O-51	z4,z24	-	O-51:z4,z24:-	51:z4,z24:-	IIIa
IIIa 53:z4,z24:-	O:53	53	O-53	z4,z24	-	O-53:z4,z24:-	53:z4,z24:-	IIIa
IIIa 35:z4,z24:-	O:35 (O)	35	O	z4,z24	-	O:z4,z24:-	35:z4,z24:-	IIIa
IIIa 40:z4,z24:-	O:40 (R) 	40	R	z4,z24	-	R:z4,z24:-	40:z4,z24:-	IIIa
IIIa 41:z4,z24:-	O:41 (S)	41	S	z4,z24	-	S:z4,z24:-	41:z4,z24:-	IIIa
IIIa 42:z4,z24:-	O:42 (T)	42	T	z4,z24	-	T:z4,z24:-	42:z4,z24:-	IIIa
IIIa 43:z4,z24:-	O:43 (U)	43	U	z4,z24	-	U:z4,z24:-	43:z4,z24:-	IIIa
IIIa 44:z4,z24:-	O:44 (V)	44	V	z4,z24	-	V:z4,z24:-	44:z4,z24:-	IIIa
IIIa 45:z4,z24:-	O:45 (W)	45	W	z4,z24	-	W:z4,z24:-	45:z4,z24:-	IIIa
IIIa 48:z4,z24:-	O:48 (Y)1	48	Y	z4,z24	-	Y:z4,z24:-	48:z4,z24:-	IIIa
IIIa 50:z4,z24:-	O:50 (Z)	50	Z	z4,z24	-	Z:z4,z24:-	50:z4,z24:-	IIIa
IIIb 48:z4,z24:-	O:48 (Y)1	48	Y	z4,z24	-	Y:z4,z24:-	48:z4,z24:-	IIIb
Ipswich	O:41 (S)	41	S	z4,z24	1,5	S:z4,z24:1,5	41:z4,z24:1,5	I
IV 6,7:z4,z24:-	O:7 (C1)	6,7	C1	z4,z24	-	C1:z4,z24:-	6,7:z4,z24:-	IV
IV 16:z4,z24:-	O:16 (l)	16	I	z4,z24	-	I:z4,z24:-	16:z4,z24:-	IV
IV 1,40:z4,z24:-	O:40 (R) 	1,40	R	z4,z24	-	R:z4,z24:-	1,40:z4,z24:-	IV
IV 1,42:z4,z24:-	O:42 (T)	1,42	T	z4,z24	-	T:z4,z24:-	1,42:z4,z24:-	IV
IV 43:z4,z24:-	O:43 (U)	43	U	z4,z24	-	U:z4,z24:-	43:z4,z24:-	IV
IV 44:z4,z24:-	O:44 (V)	44	V	z4,z24	-	V:z4,z24:-	44:z4,z24:-	IV
IV 50:z4,z24:-	O:50 (Z)	50	Z	z4,z24	-	Z:z4,z24:-	50:z4,z24:-	IV
Kaevlinge	O:16 (l)	16	I	z4,z24	-	I:z4,z24:-	16:z4,z24:-	I
Kalamu	O:4 (B)	1,4,[5],12	B	z4,z24	-	B:z4,z24:-	1,4,[5],12:z4,z24:-	I
Kalamu	O:4 (B)	1,4,[5],12	B	z4,z24	1,5	B:z4,z24:1,5	1,4,[5],12:z4,z24:1,5	I
Kethiabarny	O:28 (M)	28	M	z4,z24	-	M:z4,z24:-	28:z4,z24:-	I
Natal	O:9 (D1)	9,12	D	z4,z24	-	D:z4,z24:-	9,12:z4,z24:-	I
Ngaparou	O:9,46 (D2)	9,46	D	z4,z24	-	D:z4,z24:-	9,46:z4,z24:-	I
Romanby	O:13 (G)	1,13,23	G	z4,z24	-	G:z4,z24:-	1,13,23:z4,z24:-	I
Sambre	O:1,3,19 (E4)	1,3,19	E	z4,z24	-	E:z4,z24:-	1,3,19:z4,z24:-	I
Somone	O:7 (C1)	6,7	C1	z4,z24	-	C1:z4,z24:-	6,7:z4,z24:-	I
Tamberma	O:47 (X)	47	X	z4,z24	-	X:z4,z24:-	47:z4,z24:-	I
Toricada	O:42 (T)	1,42	T	z4,z24	-	T:z4,z24:-	1,42:z4,z24:-	I
Transvaal	O:45 (W)	45	W	z4,z24	-	W:z4,z24:-	45:z4,z24:-	I
Uzaramo	O:6,14 (H)	1,6,14,25	H	z4,z24	-	H:z4,z24:-	1,6,14,25:z4,z24:-	I
Westphalia	O:35 (O)	35	O	z4,z24	-	O:z4,z24:-	35:z4,z24:-	I
Yehuda	O:11 (F)	11	F	z4,z24	-	F:z4,z24:-	11:z4,z24:-	I
IIIa 17:z4,z32:-	O:17 (J)	17	J	z4,z32	-	J:z4,z32:-	17:z4,z32:-	IIIa
IIIa 18:z4,z32:-	O:18 (K)	18	K	z4,z32	-	K:z4,z32:-	18:z4,z32:-	IIIa
IIIa 51:z4,z32:-	O:51	51	O-51	z4,z32	-	O-51:z4,z32:-	51:z4,z32:-	IIIa
IIIa 62:z4,z32:-	O:62	62	O-62	z4,z32	-	O-62:z4,z32:-	62:z4,z32:-	IIIa
IIIa 63:z4,z32:-	O:63	63	O-63	z4,z32	-	O-63:z4,z32:-	63:z4,z32:-	IIIa
IIIa 35:z4,z32:-	O:35 (O)	35	O	z4,z32	-	O:z4,z32:-	35:z4,z32:-	IIIa
IIIa 40:z4,z32:-	O:40 (R) 	40	R	z4,z32	-	R:z4,z32:-	40:z4,z32:-	IIIa
IIIa 41:z4,z32:-	O:41 (S)	41	S	z4,z32	-	S:z4,z32:-	41:z4,z32:-	IIIa
IIIa 44:z4,z32:-	O:44 (V)	44	V	z4,z32	-	V:z4,z32:-	44:z4,z32:-	IIIa
IIIa 45:z4,z32:-	O:45 (W)	45	W	z4,z32	-	W:z4,z32:-	45:z4,z32:-	IIIa
IIIa 48:z4,z32:-	O:48 (Y)1	48	Y	z4,z32	-	Y:z4,z32:-	48:z4,z32:-	IIIa
IIIa 50:z4,z32:-	O:50 (Z)	50	Z	z4,z32	-	Z:z4,z32:-	50:z4,z32:-	IIIa
IV 11:z4,z32:-	O:11 (F)	11	F	z4,z32	-	F:z4,z32:-	11:z4,z32:-	IV
IV 16:z4,z32:-	O:16 (l)	16	I	z4,z32	-	I:z4,z32:-	16:z4,z32:-	IV
IV 21:z4,z32:-	O:21 (L)	21	L	z4,z32	-	L:z4,z32:-	21:z4,z32:-	IV
IV 1,40:z4,z32:-	O:40 (R) 	1,40	R	z4,z32	-	R:z4,z32:-	1,40:z4,z32:-	IV
IV 43:z4,z32:-	O:43 (U)	43	U	z4,z32	-	U:z4,z32:-	43:z4,z32:-	IV
IV 1,44:z4,z32:-	O:44 (V)	1,44	V	z4,z32	-	V:z4,z32:-	1,44:z4,z32:-	IV
IV 48:z4,z32:-	O:48 (Y)1	48	Y	z4,z32	-	Y:z4,z32:-	48:z4,z32:-	IV
IV 50:z4,z32:-	O:50 (Z)	50	Z	z4,z32	-	Z:z4,z32:-	50:z4,z32:-	IV
Tallahassee	O:8 (C2-C3)	6,8	C2-C3	z4,z32	-	C2-C3:z4,z32:-	6,8:z4,z32:-	I
Diogoye	O:8 (C2-C3)	8,20	C2-C3	z41	z6	C2-C3:z41:z6	8,20:z41:z6	I
Dortmund	O:3,10 (E1)	3,10	E	z41	1,[2],5	E:z41:1,[2],5	3,10:z41:1,[2],5	I
Hillsborough	O:7 (C1)	6,7	C1	z41	l,w	C1:z41:l,w	6,7:z41:l,w	I
Karamoja	O:40 (R) 	1,40	R	z41	1,2	R:z41:1,2	1,40:z41:1,2	I
Maastricht	O:11 (F)	11	F	z41	1,2	F:z41:1,2	11:z41:1,2	I
Maska	O:4 (B)	1,4,12,27	B	z41	e,n,z15	B:z41:e,n,z15	1,4,12,27:z41:e,n,z15	I
Ottawa	O:9 (D1)	1,9,12	D	z41	1,5	D:z41:1,5	1,9,12:z41:1,5	I
Tamilnadu	O:7 (C1)	6,7	C1	z41	z35	C1:z41:z35	6,7:z41:z35	I
Taset	O:42 (T)	1,42	T	z41	-	T:z41:-	1,42:z41:-	I
Thayngen	O:4 (B)	1,4,12,27	B	z41	1,(2),5	B:z41:1,(2),5	1,4,12,27:z41:1,(2),5	I
V 60:z41:-	O:60	60	O-60	z41	-	O-60:z41:-	60:z41:-	V
V 66:z41:-	O:66	66	O-66	z41	-	O-66:z41:-	66:z41:-	V
V 48:z41:-	O:48 (Y)1	48	Y	z41	-	Y:z41:-	48:z41:-	V
VI 6,7:z41:1,7	O:7 (C1)	6,7	C1	z41	1,7	C1:z41:1,7	6,7:z41:1,7	VI
Wuppertal	O:9,46 (D2)	9,46	D	z41	-	D:z41:-	9,46:z41:-	I
II 6,7:z42:1,[5],7	O:7 (C1)	6,7	C1	z42	1,[5],7	C1:z42:1,[5],7	6,7:z42:1,[5],7	II
II 1,9,12:z42:1,[5],7	O:9 (D1)	1,9,12	D	z42	1,[5],7	D:z42:1,[5],7	1,9,12:z42:1,[5],7	II
II 1,6,14:z42:1,6	O:6,14 (H)	1,6,14	H	z42	1,6	H:z42:1,6	1,6,14:z42:1,6	II
II 16:z42:1,(5),7	O:16 (l)	16	I	z42	1,(5),7	I:z42:1,(5),7	16:z42:1,(5),7	II
II 16:z42:1,6	O:16 (l)	16	I	z42	1,6	I:z42:1,6	16:z42:1,6	II
II 57:z42:1,6	O:57	57	O-57	z42	1,6	O-57:z42:1,6	57:z42:1,6	II
II 1,40:z42:1,(5),7	O:40 (R) 	1,40	R	z42	1,(5),7	R:z42:1,(5),7	1,40:z42:1,(5),7	II
II 1,40:z42:1,6	O:40 (R) 	1,40	R	z42	1,6	R:z42:1,6	1,40:z42:1,6	II
II 43:z42:-	O:43 (U)	43	U	z42	-	U:z42:-	43:z42:-	II
II 43:z42:1,5,7	O:43 (U)	43	U	z42	1,5,7	U:z42:1,5,7	43:z42:1,5,7	II
II 50:z42:1,7	O:50 (Z)	50	Z	z42	1,7	Z:z42:1,7	50:z42:1,7	II
Bulovka	O:7 (C1)	6,7	C1	z44	-	C1:z44:-	6,7:z44:-	I
II 52:z44:1,5,7	O:52	52	O-52	z44	1,5,7	O-52:z44:1,5,7	52:z44:1,5,7	II
Quinhon	O:47 (X)	47	X	z44	-	X:z44:-	47:z44:-	I
IIIb 6,14:z52:e,n,x,z15	O:6,14 (H)	6,14	H	z52	e,n,x,z15	H:z52:e,n,x,z15	6,14:z52:e,n,x,z15	IIIb
IIIb [1],6,14,[25]:z52:z35	O:6,14 (H)	[1],6,14,[25]	H	z52	z35	H:z52:z35	[1],6,14,[25]:z52:z35	IIIb
IIIb 16:z52:z35	O:16 (l)	16	I	z52	z35	I:z52:z35	16:z52:z35	IIIb
IIIb 53:z52:z35	O:53	53	O-53	z52	z35	O-53:z52:z35	53:z52:z35	IIIb
IIIb 53:z52:z53	O:53	53	O-53	z52	z53	O-53:z52:z53	53:z52:z53	IIIb
IIIb 58:z52:z	O:58	58	O-58	z52	z	O-58:z52:z	58:z52:z	IIIb
IIIb 58:z52:z35	O:58	58	O-58	z52	z35	O-58:z52:z35	58:z52:z35	IIIb
IIIb 59:z52:z53	O:59	59	O-59	z52	z53	O-59:z52:z53	59:z52:z53	IIIb
IIIb 60:z52:1,5,[7]	O:60	60	O-60	z52	1,5,[7]	O-60:z52:1,5,7	60:z52:1,5,[7]	IIIb
IIIb 60:z52:z	O:60	60	O-60	z52	z	O-60:z52:z	60:z52:z	IIIb
